sentence,sentiment,agreement
"Pulkovo park will be ready in 2016 , its first stage of 23,000 sq. m. will be finished in the first quarter of 2010 .",neutral,50
"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers .",neutral,50
"Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE .",positive,50
s already good position in the technical building services market in Ostrobothnia .,neutral,50
"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million .",neutral,50
"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply .",neutral,50
Tekla will implement the renewal in software versions which will be introduced in spring 2011 .,positive,50
The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,positive,50
The company 's advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations .,positive,50
"The deal , already approved by shareholders , will be carried out in the first half of 2011 .",neutral,50
"The ten year rent contract with the right of prolongation on the existing terms , was signed between Stockmann and the owner of the shopping center in 1998 .",neutral,50
"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .",positive,50
"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .",neutral,50
The upgraded factory is scheduled to come on stream in the summer of 2008 .,neutral,50
This allows devices such as mobile phones to become a few millimetres thinner .,neutral,50
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,neutral,50
Finnish plumbing and heating systems supplier Uponor announced a company-wide cost reduction program in August 2008 .,neutral,50
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .,positive,50
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",negative,50
"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",negative,50
I thank Jarmo Ukonaho warmly for his contribution and wish him all the best in the future challenges . '',neutral,50
Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,positive,50
Affecto has helped SKAT to set up the platform and has previously delivered several Business Intelligence projects for SKAT .,neutral,50
"Mr. Atul Chopra , Chief Operating Officer & President , Tecnotree elaborated '' I am eager to see the continued success of the former Tecnomen , bringing Lifetree product to MENA , under the Tecnotree umbrella .",neutral,50
"Since inception in 1999 , Access ' stable management team has remained disciplined and focused on the proactive screening , selection and management of European small to mid-market buy-out funds of funds and mandates .",neutral,50
"We now have both the opportunity and the responsibility to create a new journalistic culture to serve the readers of Alma Media 's newspapers , `` says Hannu Ollikainen , head of the new Helsinki desk .",neutral,50
"`` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .",neutral,50
`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .,positive,50
It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business .,neutral,50
Nordea Bank has a large share and vast experience in the Nordic credit card market .,neutral,50
"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities .",neutral,50
One of my colleagues summed up the E7 quite aptly when he remarked : `` Fantastic hardware .,positive,50
Technopolis said before the protocol was signed that the techno-park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive .,neutral,50
"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .",positive,50
"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment .",neutral,50
"With Aldata , we can help retailers ensure that their merchandising and selections reflect customer demand and their evolving shopping behavior . ''",neutral,50
"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes .",positive,50
`` We want to serve K-citymarket customers by offering them interesting and topical selections .,neutral,50
Finnish food industry companies are interested in the opportunities provided by Ukraine .,neutral,50
"cents Scout for potential acquisition targets , with detailed insight into the companies financial and operational performance .",neutral,50
"Higher bit rates for outgoing traffic improves the end-user experience of mobile broadband services such as video conferencing , file sharing and sending e-mails with attachments .",positive,50
In his turn Fradkov said Russia is interested in adopting Finnish experience in forming technology parks in the framework of implementing the law on special economic zone .,neutral,50
"It combines a perfect price performance with sophisticated management facilities , the company said .",positive,50
"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .",positive,50
"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx .",positive,50
L&T has also made a commitment to redeem the remaining shares by the end of 2011 .,neutral,50
Proline Plus is a mechanical liquid handling device with a robust design suitable for all types of applications .,neutral,50
"Nokia said that its next generation mobile gaming platform makes it easy for people to find , buy , play and share rich and immersive games on a range of Nokia devices .",neutral,50
Panostaja is a financially secure Finnish multi-field corporation that creates healthy companies and company entities .,neutral,50
The company 's main shareholders Lihakunta and Itikka Osuuskunta have both made a commitment to acquire shares worth EUR 20mn .,neutral,50
The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .,neutral,50
"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods .",positive,50
The StoneGate product is centrally manageable and suited for both physical and virtual environments .,neutral,50
The winners included the Honda Odyssey for minivan and the Nissan Armada for large SUV .,neutral,50
This bold spinning 360 red fabric design is set beautifully on Ercols Napoli sofa .,positive,50
TomTom has given assurances that it will continue to sell maps to competitors if it wins EU approval .,positive,50
We are also pleased to welcome the new employees to Tieto . ',neutral,50
We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .,neutral,50
"`` It gives us a sense of pride and exposure , '' said Bruce Hansen , the SVH sales representative for Wolverine .",positive,50
Being successful requires providing a level of quality that satisfies our customers and partners .,neutral,50
CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .,positive,50
"It includes the company 's new , highly powerful , compact and scalable Flexi Multiradio 10 Base Station .",neutral,50
"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good .",neutral,50
Kesko www.kesko.fi is a Finnish retail specialist whose stores offer quality to the daily lives of consumers through valued products and services at competitive prices .,neutral,50
Nokia said the outcome was a `` fair and responsible social plan . '',neutral,50
"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law .",neutral,50
"Sami Sepp+ñnen , CEO for Elisa Eesti , says the novel network allows fast mobile broadband for sparsely populated areas .",neutral,50
"The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems .",positive,50
"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades .",positive,50
The contract covers new energy-efficient AC drives that have been designed in cooperation between the companies .,neutral,50
"The familiar blue , white , and red HK seal has received a more authentic look .",neutral,50
"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",neutral,50
The smaller molecules improve the grip of the tyre at top-speed driving .,neutral,50
The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,positive,50
"The vessels also have to be environmentally friendly , fast , and have all modern conveniences .",neutral,50
"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",neutral,50
"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market .",positive,50
"`` Indo-Russia trade can cross the targeted 10 billion dollars by 2010 and double to 20 billion dollars by 2015 , if trade irritants and procedural hassles are resolved , '' the chamber said in its survey on obstacles to trade with Russia .",positive,50
`` I see my new post as an inspiring challenge .,neutral,50
"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo .",neutral,50
"In complying with the European Water Framework Directive requirements , the pre-treatment unit will be fully renovated , including hydraulics of waste water inception , degridding , sand and grease removal and treatment and deodorization of the unit .",positive,50
Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,neutral,50
"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",negative,50
The StoneGate UTM solution offers protection against inbound and outbound attacks .,positive,50
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,negative,50
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,positive,50
"The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft .",neutral,50
"Upon completion , Keskuskatu will form the backbone of Helsinki 's pedestrianised downtown area , linking up with the city 's other main pedestrian precincts .",positive,50
The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .,positive,50
A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,positive,50
"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",positive,50
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",positive,50
"Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .",positive,50
The Finnish company claims to have over a quarter of a million contented Tulikivi fireplace business and homeowners worldwide .,neutral,50
"Vaahto , which has entered the deal via its subsidiary Vaahto Pulp & Paper Machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 .",positive,50
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .,positive,50
"According to Scanfil 's President Harri Takanen , Scanfil 's investment activity proceeded according to the strategy on several fronts in 2010 .",neutral,50
"In 2007 , Marimekko has also opened concept stores in Yokohama and Nagoya , central Japan , in Silver Spring in metropolitan Washington DC , USA , in Graz , central Austria , and in Aalborg , northern Denmark .",positive,50
It appears from statistics of the Technical Surveillance Authority that customers who switch service providers mostly transfer their numbers to Elisa 's network .,neutral,50
It is in line with its plans to focus on selected growth segments and streamline corporate structure .,positive,50
"Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device .",positive,50
"Kemira will supply the additional volumes of iron coagulants from the company 's plant at Helsingborg , Sweden .",neutral,50
"Metso will provide a recovery boiler with a capacity of 6,800 tonnes of dry solids per day and an evaporation plant with six thermal stages and a capacity of 1,600 tonnes per hour .",neutral,50
Net sales are expected to remain on the same level as in 2007 .,neutral,50
Net sales in 2007 totalled EUR 329 million and the operating margin was over 19 % .,neutral,50
Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .,neutral,50
Nokia has enough users to do just as well .,neutral,50
"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland .",neutral,50
"So , at the present time Nokian tires had the contract of tires production in China .",neutral,50
"Solvay S.A. has engaged Poyry to provide project management , engineering , procurement , and site services for a hydrogen peroxide production plant to be built by a Solvay-BASF joint venture at BASF 's Zandvliet site , Belgium .",neutral,50
The companies expect the first orders already in 2011 .,positive,50
The company also expects to sell its products in other Russian region .,positive,50
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive,50
The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .,neutral,50
The long-term contract is global .,positive,50
The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .,positive,50
The opening of the portal is part of the expansion strategy of Alma Media 's Marketplaces business unit .,neutral,50
The solvency capital ratio of both companies was 2.7 times the solvency limit .,neutral,50
"Under the agreement , Japrotek will deliver nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators .",neutral,50
"Under the agreement , TietoEnator will provide Blyk with extended application and business process management services and an IT infrastructure .",positive,50
Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso 's Russian wood procurement operations .,neutral,50
Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .,neutral,50
Vacon 's office will support its customers in Brazil and South America .,neutral,50
We can capitalize on our experience from a number of similar bridge projects in the Nordic countries .,positive,50
"With the second phase of the new Innova building , Tecnopolis presence in Jyvaskyla will increase to a total of approximately 62,000 floor square meters .",neutral,50
"agreement with SHB 30 December 2009 - Finnish financial services group Aktia HEL : AKTAV has concluded a market making agreement with Svenska Handelsbanken STO : SHB A , or SHB , the two parties said today .",positive,50
Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia .,neutral,50
Glaston also has efficiency measures in all other units .,neutral,50
"Nokia will deliver a WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station to Indosat .",neutral,50
"The contract traded at an all-time high of $ 50,200 a ton on April 24 .",neutral,50
"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .",positive,50
The impact of this acquisition to Teleste 's net sales for 2010 is estimated to be approximately EUR 2 million .,neutral,50
"Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .",neutral,50
28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .,neutral,50
"According to the Act , universities can now acquire private funding .",neutral,50
"Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs .",positive,50
`` We were the lowest bidders and now the final approval is awaited . '',positive,50
15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .,neutral,50
Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .,negative,50
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",negative,50
After that the two companies sat down and sewed up the present deal .,neutral,50
Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .,neutral,50
"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .",neutral,50
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,negative,50
"Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .",positive,50
Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .,positive,50
"firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum .",positive,50
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .",neutral,50
"India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said .",neutral,50
It moved into the No. 2 spot in 2000 when it merged steel operations with Avesta Sheffield to form AvestaPolarit .,neutral,50
"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people .",neutral,50
"The company 's US subsidiary Vaisala Inc. acquires Aviation Systems Maintenance , Inc ASMI , a Kansas , U.S. based airport service company with over 2.6 million USD net sales in 2008 .",neutral,50
The plans will result in the introduction of new and highly specialized manufacturing methods and also entail changes to personnel at the facility .,neutral,50
"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously .",neutral,50
"There have been 15 initial public offerings announced in Sweden this year , compared with two during the same period a year earlier , Bloomberg data shows .",neutral,50
"Under the changes envisaged , HK Ruokatalo would reduce its number of industrial places of business in Finland from eight to six .",neutral,50
W+ñrtsil+ñ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,neutral,50
` Pulp and paper industries are growing in countries like China and Russia .,neutral,50
"`` We have become convinced that we can do that very quickly , '' he told Finnish business reporters .",neutral,50
26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .,neutral,50
"According to preliminary information by the Finnish Forest Industries Federation , imports of roundwood to Finland increased to about 20 million m3 in 2005 , representing an increase of 15 % from 2004 .",neutral,50
"Finnish AC drives manufacturer Vacon is acquiring the AC drives business of TB Wood 's , part of the US group Altra Holdings .",neutral,50
Finnish stainless steel manufacturer Outokumpu in Degefors is planning to recruit new engineers in order to meet a retirement wave over the next few years .,neutral,50
"Finnish W+ñrtsil+ñ that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk , in Russia .",neutral,50
"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",negative,50
"ALEXANDRIA , Va. , Dec. 17 -- Reijo Salovaara , Nastola , Finland , has developed a veneer cutter .",neutral,50
"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+ñrvi , Vimpeli and Per+ñsein+ñjoki in Finland .",neutral,50
"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",negative,50
"And earlier this month , the company signed a deal with India-based information technology services giant Wipro Technologies to transfer and sell its radio access related R&D activities in Berlin .",positive,50
"As a result of the negotiations , the amount of employment contracts to be terminated is 13 .",negative,50
"As a result of the negotiations , the company will terminate total 5 employment contracts .",negative,50
Automation makes it possible to conduct several tests simultaneously .,neutral,50
Basware offers full support for all SAP versions starting from SAP 4.5 .,neutral,50
"Dubbed Nokia Money Solutions , company officials say the initiative would seek to bridge the gap between the banked and unbanked in developing countries .",positive,50
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .",negative,50
"Finnish cargo handling solutions company Cargotec Oyj said on June 17 , 2008 that it will acquire New Zealand tailgates distributor Zepro Tailgate ( 1987 ) Limited for an undisclosed sum .",neutral,50
"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum .",neutral,50
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,neutral,50
"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 .",positive,50
Gearing was 43 % compared to 67 % in 2004 .,neutral,50
"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .",positive,50
GSK announced in November 2008 that it would close its operations in Dartford .,negative,50
"Headline of release dated March 26 , 2008 should read : Acacia Subsidiary Enters into Settlement Agreement for Rule Based Monitoring Technology with F-Secure ( sted Acacia Technologies Licenses Rule Based Monitoring Technology to F-Secure ) .",neutral,50
In addition the deal includes a call option which will enable Maritim Food AS to increase its holding in Sandanger AS to 51 % in the future .,positive,50
"In terms of power generation , Fortum produced 39.3 TWh of electricity during the first nine months of 2006 , compared with 38.0 TWh during the same period in 2005 , according to figures released in the group 's latest financial results .",neutral,50
"Intellisync Wireless Email from Nokia is a full-featured wireless e-mail solution that connects users to their e-mail , calendar , contacts , notes and task lists while away from the office , according to the company .",neutral,50
"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .",positive,50
It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management .,neutral,50
"It is also set to launch a messaging service in the next few days , which would enable users to access their e-mail accounts on MS Exchange .",neutral,50
"It rose by 15.7 % and by 24.8 % in Finland and abroad , respectively , to EUR 7 million and EUR 4.2 million , due to a 40 % growth in Russia .",positive,50
"Jobs will not be transferred from Finland , however .",positive,50
Kaupthing forecasts a significant price increase for printing paper in 2007 .,positive,50
KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,positive,50
"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology .",neutral,50
"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli",positive,50
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",positive,50
"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) .",neutral,50
"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .",positive,50
"Metso Foundries Jyvaskyla , Inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in Jyvaskyla , Finland .",negative,50
"On the other hand , Montevideo said that having the two mills working in the area will generate jobs .",positive,50
"On Wednesday he announced that the government would propose granting a licence for two reactors , one to be built by Fennovoima , and the other by TVO .",positive,50
Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .,positive,50
"Sonoco Products Co. , a U.S. packaging company , said Friday it bought the 75 percent of Italy 's Demolli Industria Cartaria SpA it did not already own .",neutral,50
"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",negative,50
"TeliaSonera s subsidiary , the mobile operator EMT in Estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone .",neutral,50
"Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced .",neutral,50
"The Bank of +àland acquired the private banking business , asset management , and share brokerage business of Kaupthing Sweden in early 2009 .",neutral,50
"The business goals for 2009 will realize with the temporary lay-offs carried out in the summer of 2009 , and with other savings measures .",neutral,50
The companies aim to close the deal before the end of the year .,neutral,50
"The company will also shut one paper machine in Finland and one in Austria , as well as two label paper machines in Finland for up to 10 months , Helsinki-based UPM said yesterday .",neutral,50
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,negative,50
The executive group will participate in the adjustments with a fixed-term 5 % salary cut .,positive,50
The Finnish company has also reached arrangements regarding the working hours and annual holidays .,neutral,50
The lay-offs will start gradually and will last from one to six weeks .,neutral,50
The new shares will provide the shareholders with full shareholder rights .,neutral,50
"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",negative,50
"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",negative,50
"The Segu companies and PKC 's Polish unit will form a business servicing the western European markets with `` annual sales of about hundred million '' and about 2,500 employees , the Finnish company 's CEO , Harri Suutari , said .",neutral,50
The venture recently agreed to buy Motorola 's wireless networks business for $ 1.2 billion and to deploy LightSquared 's national 4G network .,neutral,50
The vessels are the largest and fastest ropax vessels in the world that will be built by Fincantieri .,neutral,50
TN means that the handset supports TeliaSonera 's Telia Navigator global positioning system service .,neutral,50
"Under the contract , Ericsson will more than double the number of radio base stations in the Elisa network over the coming year .",neutral,50
UPM 's aim is to secure Botnia 's strategic development and investments .,neutral,50
-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .,neutral,50
"`` This agreement is a direct result of LCC 's strategy and plan that was announced earlier this year , '' said Dean Douglas , LCC 's chief executive officer .",neutral,50
A profit is still on target .,positive,50
A spokeswoman for the Italian fashion house declined comment on the settlement .,neutral,50
"After the transaction , Danske Bank becomes an equal player with Nordic bank group Nordea in the Nordic countries .",neutral,50
"Among paper issues , Stora Enso R was little changed -- up 0.08 pct at 12.03 eur , UPM-Kymmene was 0.48 pct higher at 18.77 eur and M-real B added 0.50 pct to 3.99 eur .",neutral,50
An Android app will be coming soon .,neutral,50
As a consequence of the merger the number of administration personnel at the factories will be reduced by six .,neutral,50
"Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 .",neutral,50
Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .,neutral,50
"Garmin fell 4.5 percent to $ 34.53 at 1:33 p.m. in New York , while Google slid 0.7 percent at $ 576.50 .",neutral,50
"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network .",positive,50
"In addition , the company will reduce a maximum of ten jobs .",negative,50
"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur .",positive,50
"In the automobile space , Maruti is the most searched brand in cars .",neutral,50
Lemcon has also signed a pre-contract for the purchase of the park 's entire 130-hectare site .,positive,50
"Most of the new substations support EDGE technology , which enables faster data traffic .",neutral,50
M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,neutral,50
"Panostaja Plc today acquired the entire share capital of Suomen Graafiset Palvelut Ltd , a provider of printing services .",neutral,50
"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .",negative,50
"pct lower at 4,442.10 .",neutral,50
Rihko said the sale will enable the company to concentrate on its grain-based business .,neutral,50
RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .,neutral,50
Rosa is one of the best-known Duckburg illustrators .,neutral,50
"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .",neutral,50
"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex .",positive,50
"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation .",neutral,50
The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,negative,50
The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .,neutral,50
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,negative,50
The goal is significant expansion in Finland and in the northern Baltic region .,neutral,50
The merger between the two telecoms operators was expected to result in the world 's fourth largest telecoms operator .,neutral,50
The newspaper 's best sales asset is high quality journalism and journalistic content .,neutral,50
The retail chain launched in 2007 does not correspond to profit and sales forecasts of the company .,neutral,50
"The staff reduction will start immediately , Glaston added .",negative,50
The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,positive,50
"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe .",neutral,50
"UPM is the biggest producer of magazine paper in Europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .",neutral,50
"Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications .",neutral,50
"We bring a new , committed leadership and business and strategic know-how to the company that we buy .",neutral,50
